purpose,priority
Платеж за поставку канцтоваров 91074,5
Благотворительное пожертвование 71720 с НДС (основание: договор 672),5
СРОЧНЫЙ: ВОЗМЕЩЕНИЕ УЩЕРБА ЗДОРОВЬЮ ПО ИСП. ЛИСТУ 27704,1
Срочный: Водный налог 54566 от 02.06.2024 от 11.06.2024,3
Уплата транспортного налога 89189 (основание: договор 424),3
Срочный: Возврат займа контрагенту 95688 с НДС Ярко-розовый,5
Срочный: Оплата услуг связи по договору 88686,5
Возврат займа контрагенту 47435 от 25.08.2024,5
Возмещение ущерба здоровью по исп. листу 25539 от 26.04.2025,1
Перечисление по акту с НДС,5
Компенсация по договору БИК 259357080 ИНН 565804995860,5
Срочный: Перечисление за программное обеспечение 79259,5
Исполнительный лист номер 43146 о возмещении вреда здоровью Темно-фиолетовый с НДС от 07.04.2025,1
"Медицинская компенсация по судебному решению 11217, ИНН 570590027065",1
Компенсация морального вреда по решению суда 19277 (основание: договор 499) (Герасимова Лтд),1
ЕНВД ЗА ОТЧЕТНЫЙ ПЕРИОД 58085,3
Срочный: Перечисление средств по исп. документу 83015 о возмещении вреда жизни (основание: договор 862),1
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 54140 БЕЗ НДС (ОСНОВАНИЕ: ДОГОВОР 392),5
"Налоговый платеж в бюджет РФ №17011 (ООО «Гришин, Емельянова и Беляев») от 09.08.2024",3
Исполнительное производство 50177 о возмещении вреда здоровью,1
Платежное поручение на налог на прибыль 48992 от 05.07.2024 (Автозаправочные комплексы Atan),3
"Страховые взносы в ПФР по квитанции 54904, ИНН 218108505349 (основание: договор 389)",3
Таможенные платежи по декларации 70058 (основание: договор 727) Цвет морской волны,3
ТАМОЖЕННЫЕ ПЛАТЕЖИ ПО ДЕКЛАРАЦИИ 82328,3
"Водный налог 4345, ИНН 120076708921, ИНН 594646011708",3
Перечисление за программное обеспечение 99382 с НДС (основание: договор 843) от 13.01.2025,5
Оплата услуг связи по договору 43730 (основание: договор 649),5
"Уплата транспортного налога 48497 (основание: договор 464) без НДС, ИНН 177723823802",3
Благотворительное пожертвование 16835 от 06.02.2025 (РАО «Шилова Максимов»),5
Оплата услуг связи по договору 25651 Черный,5
ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 63792 ОТ 17.01.2025 с НДС,5
Страховые отчисления в ПФР по квитанции 60665,3
"Перечисление за аренду офиса 23925 (основание: договор 754), ИНН 957087230042",5
Налоговый платеж в бюджет РФ номер 754 Черный,3
"Оплата услуг связи по договору 92819 (основание: договор 626) (ООО «Поляков Бирюков»), ИНН 105652371218",5
Срочный: Земельный налог 90911 без НДС,3
"Платеж за юридические услуги 67391 (основание: договор 126) (РАО «Ильин, Бобров и Назаров»)",5
Платеж за проведение тренинга 5483 Желтый (Назарова и партнеры),5
Налоговый платеж в бюджет РФ №3462 (основание: договор 631) от 20.04.2025,3
Перечисление средств по исп. документу 26614 о возмещении вреда жизни от 08.12.2024,1
Платеж за проведение тренинга 96394 от 01.03.2025,5
Перечисление средств по исп. документу 97056 о возмещении вреда жизни (основание: договор 119) (НПО «Боброва-Сафонова»),1
Срочный: Перечисление за программное обеспечение 93078,5
Перевод средств по акту срочно,3
"Оплата услуг связи по договору 89231, ИНН 392176252050",5
"Страховые взносы в ПФР по квитанции 62562 от 09.06.2024, ИНН 720862942047",3
Платеж за юридические услуги 3964 Оранжевый,5
"Оплата хостинга за Июль 93033 без НДС, ИНН 402594732105 с НДС",5
"Оплата хостинга за Июль 57388 (АО «Горбачев, Константинов и Елисеев»)",5
Взыскание алиментов по исп. листу 52044 от 05.07.2024,1
Перечисление за аренду офиса 97821 от 13.11.2024,5
Взыскание алиментов по исп. листу 32849 от 14.06.2024,1
Срочный: Оплата командировочных расходов 34201 от 09.10.2024,5
Водный налог 46551 без НДС,3
